#bioname	bioname_parent	base	acid	base_parent	acid_parent	inconsistency	null	null	base_n	acid_n	base_parent_n	acid_parent_n	type_n
9-ribosyl-trans-zeatin 5'-diphosphate	a ribonucleoside 5'-diphosphate	CHEBI:87950	CHEBI:71875	CHEBI:57930	CHEBI:16862	left_incomplete	$null$	$null$	9-ribosyl-trans-zeatin 5'-diphosphate(3-)	9-ribosyl-trans-zeatin 5'-diphosphate	nucleoside 5'-diphosphate(3-)	nucleoside diphosphate	$null$
20-oxo-leukotriene B4	a long-chain fatty acid	CHEBI:90720	CHEBI:63979	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	20-oxoleukotriene B4(1-)	20-oxoleukotriene B4	long-chain fatty acid anion	long-chain fatty acid	$null$
15-oxo-(5S,6R)-dihydroxy-(7E,9E,11Z,13E)-eicosatetraenoate	a hydroxy polyunsaturated fatty acid	CHEBI:78311	CHEBI:63992	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	15-oxolipoxin A4(1-)	15-oxolipoxin A4	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
15-oxo-(5S,6R)-dihydroxy-(7E,9E,11Z)-eicosatrienoate	a hydroxy polyunsaturated fatty acid	CHEBI:78325	CHEBI:63993	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	13,14-dihydro-15-oxolipoxin A4(1-)	13,14-dihydro-15-oxolipoxin A4	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
(S)-4-hydroxy-2-oxopentanoate	a 2-oxocarboxylate	CHEBI:73143	CHEBI:73148	CHEBI:35179	CHEBI:35910	left_incomplete	$null$	$null$	(S)-4-hydroxy-2-oxopentanoate	(S)-4-hydroxy-2-oxopentanoic acid	2-oxo monocarboxylic acid anion	2-oxo monocarboxylic acid	$null$
UTP (3-)	a nucleoside 5'-phosphate	CHEBI:57481	CHEBI:15713	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	UTP(3-)	UTP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
UTP (3-)	a ribonucleoside 5'-triphosphate	CHEBI:57481	CHEBI:15713	CHEBI:61557	CHEBI:17326	left_incomplete	$null$	$null$	UTP(3-)	UTP	nucleoside triphosphate(4-)	nucleoside triphosphate	$null$
UTP (3-)	UTP	CHEBI:57481	CHEBI:15713	CHEBI:46398	CHEBI:15713	left_incomplete	$null$	$null$	UTP(3-)	UTP	UTP(4-)	UTP	$null$
1D-myo-inositol 1,4,5-trisphosphate	a myo-inositol phosphate	CHEBI:203600	CHEBI:16595	CHEBI:84139	CHEBI:25448	left_incomplete	$null$	$null$	1D-myo-inositol 1,4,5-trisphosphate(6-)	1D-myo-inositol 1,4,5-trisphosphate	myo-inositol phosphate(2-)	myo-inositol phosphate	$null$
(17Z,20Z,23Z,26Z,29Z)-dotriacontapentaenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:74259	CHEBI:74409	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(17Z,20Z,23Z,26Z,29Z)-dotriacontapentaenoyl-CoA(4-)	(17Z,20Z,23Z,26Z,29Z)-dotriacontapentaenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
(17Z,20Z,23Z,26Z,29Z)-dotriacontapentaenoyl-CoA	an ultra-long-chain fatty acyl-CoA	CHEBI:74259	CHEBI:74409	CHEBI:143018	CHEBI:143017	left_incomplete	$null$	$null$	(17Z,20Z,23Z,26Z,29Z)-dotriacontapentaenoyl-CoA(4-)	(17Z,20Z,23Z,26Z,29Z)-dotriacontapentaenoyl-CoA	ultra-long-chain fatty acyl-CoA(4-)	ultra-long-chain fatty acyl-CoA	$null$
17alpha-(N-acetyl-alpha-D-glucosaminyl)estradiol 3-glucosiduronate	steroid glucuronate	CHEBI:73194	CHEBI:73201	CHEBI:136637	CHEBI:26763	left_incomplete	$null$	$null$	17alpha-(N-acetyl-alpha-D-glucosaminyl)estradiol 3-glucosiduronate	17alpha-(N-acetyl-alpha-D-glucosaminyl)estradiol 3-glucuronoside	steroid glucosiduronic acid anion	steroid glucosiduronic acid	$null$
3,3',4',5,7,8-hexahydroxyflavone	a flavonol oxoanion	CHEBI:77862	CHEBI:16400	CHEBI:58588	CHEBI:28802	left_incomplete	$null$	$null$	gossypetin(1-)	gossypetin	flavonol oxoanion	flavonols	$null$
(12R)-hydroperoxy-(5Z,8Z,10E,14Z)-eicosatetraenoate	a hydroperoxyeicosatetraenoate	CHEBI:75230	CHEBI:34145	CHEBI:59720	CHEBI:24644	left_incomplete	$null$	$null$	12(R)-HPETE(1-)	12(R)-HPETE	HPETE anion	HPETE	$null$
3-oxo-(17Z,20Z,23Z,26Z)-dotriacontatetraenoyl-CoA	an ultra-long-chain fatty acyl-CoA	CHEBI:74288	CHEBI:74504	CHEBI:143018	CHEBI:143017	left_incomplete	$null$	$null$	(17Z,20Z,23Z,26Z)-3-oxodotriacontatetraenoyl-CoA(4-)	(17Z,20Z,23Z,26Z)-3-oxodotriacontatetraenoyl-CoA	ultra-long-chain fatty acyl-CoA(4-)	ultra-long-chain fatty acyl-CoA	$null$
3-oxo-(17Z,20Z,23Z,26Z)-dotriacontatetraenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:74288	CHEBI:74504	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(17Z,20Z,23Z,26Z)-3-oxodotriacontatetraenoyl-CoA(4-)	(17Z,20Z,23Z,26Z)-3-oxodotriacontatetraenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
2-oxo-dAMP	a 2'-deoxyribonucleoside 5'-phosphate	CHEBI:63212	CHEBI:63211	CHEBI:65317	CHEBI:18241	left_incomplete	$null$	$null$	2-hydroxy-dAMP(2-)	2-hydroxy-dAMP	2'-deoxynucleoside 5'-monophosphate(2-)	2'-deoxyribonucleoside 5'-monophosphate	$null$
N-acetyl-alpha-D-glucosaminyl-di-trans,octa-cis-undecaprenyl diphosphate	a polyprenol phosphate	CHEBI:62959	CHEBI:62958	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	N-acetyl-alpha-D-glucosaminyl-1-diphospho-ditrans,polycis-undecaprenol(2-)	N-acetyl-alpha-D-glucosaminyl-1-diphospho-ditrans,polycis-undecaprenol	polyprenol phosphate anion	polyprenol phosphate	$null$
N-acetyl-alpha-D-galactosaminyl-(1->4)-N-acetyl-alpha-D-galactosaminyl-(1->3)-N,N'-diacetyl-alpha-D-bacillosaminyl-tri-trans,heptacis-undecaprenyl diphosphate	a polyprenol phosphate	CHEBI:68651	CHEBI:68827	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	alpha-D-GalNAc-(1->4)-alpha-D-GalNAc-(1->3)-alpha-D-diNAcBac-tritrans,heptacis-undecaprenyl diphosphate(2-)	alpha-D-GalNAc-(1->4)-alpha-D-GalNAc-(1->3)-alpha-D-diNAcBac-tritrans,heptacis-undecaprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
2-oxo-dAMP	a ribonucleoside 5'-phosphate	CHEBI:63212	CHEBI:63211	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	2-hydroxy-dAMP(2-)	2-hydroxy-dAMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
2-oxo-dAMP	a nucleoside 5'-phosphate	CHEBI:63212	CHEBI:63211	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	2-hydroxy-dAMP(2-)	2-hydroxy-dAMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
3-hydroxy-5-methyl-1-naphthoate	an aromatic carboxylate	CHEBI:78252	CHEBI:79083	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3-hydroxy-5-methyl-1-naphthoate	3-hydroxy-5-methyl-1-naphthoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
isopentadecanoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:70827	CHEBI:70848	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	isopentadecanoyl-CoA(4-)	isopentadecanoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
[alpha-D-GalNAc-(1->4)]2-[beta-D-Glc-(1->3)]-[alpha-D-GalNAc-(1->4)]2-alpha-D-GalNAc-(1->3)-alpha-D-diNAcBac-tri-trans,hepta-cis-undecaprenyl diphosphate	a polyprenol phosphate	CHEBI:68654	CHEBI:68831	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	[alpha-D-GalNAc-(1->4)]2-[beta-D-Glc-(1->3)]-[alpha-D-GalNAc-(1->4)]2-alpha-D-GalNAc-(1->3)-alpha-D-diNAcBac-tritrans,heptacis-undecaprenyl diphosphate(2-)	[alpha-D-GalNAc-(1->4)]2-[beta-D-Glc-(1->3)]-[alpha-D-GalNAc-(1->4)]2-alpha-D-GalNAc-(1->3)-alpha-D-diNAcBac-tritrans,heptacis-undecaprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
8-oxo-dGMP	a 2'-deoxyribonucleoside 5'-phosphate	CHEBI:63224	CHEBI:63223	CHEBI:65317	CHEBI:18241	left_incomplete	$null$	$null$	8-oxo-dGMP(2-)	8-oxo-dGMP	2'-deoxynucleoside 5'-monophosphate(2-)	2'-deoxyribonucleoside 5'-monophosphate	$null$
an all-trans-polyprenyl phosphate	a polyprenol phosphate	CHEBI:68852	CHEBI:70739	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	all-trans-polyprenol phosphate(2-)	all-trans-polyprenol phosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
3-hydroxyadipyl-CoA	an acyl-CoA	CHEBI:70990	CHEBI:71038	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	3-hydroxyadipyl-CoA(5-)	3-hydroxyadipyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
8-oxo-dGMP	a nucleoside 5'-phosphate	CHEBI:63224	CHEBI:63223	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	8-oxo-dGMP(2-)	8-oxo-dGMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
5,10-dihydrophenazine 1-carboxylate	an aromatic carboxylate	CHEBI:78312	CHEBI:79181	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	5,10-dihydrophenazine-1-carboxylate	5,10-dihydrophenazine-1-carboxylic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
8-oxo-dGMP	a ribonucleoside 5'-phosphate	CHEBI:63224	CHEBI:63223	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	8-oxo-dGMP(2-)	8-oxo-dGMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
3-sulfinopropanoyl-CoA	an acyl-CoA	CHEBI:78349	CHEBI:79221	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	3-sulfinopropionyl-CoA(5-)	3-sulfinopropionyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
(2E,6E)-farnesyl diphosphate	a polyprenol phosphate	CHEBI:175763	CHEBI:17407	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	2-trans,6-trans-farnesyl diphosphate(3-)	2-trans,6-trans-farnesyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
3-oxo-5,6-didehydrosuberyl-CoA	an acyl-CoA	CHEBI:63255	CHEBI:63253	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	3-oxo-5,6-dehydrosuberyl-CoA(5-)	3-oxo-5,6-dehydrosuberyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
1D-myo-inositol 1,2,3,4,5-pentakisphosphate	a myo-inositol phosphate	CHEBI:177294	CHEBI:18345	CHEBI:84139	CHEBI:25448	left_incomplete	$null$	$null$	1D-myo-inositol 1,2,3,4,5-pentakisphosphate(10-)	1D-myo-inositol 1,2,3,4,5-pentakisphosphate	myo-inositol phosphate(2-)	myo-inositol phosphate	$null$
2,3-didehydroadipoyl-CoA	a fatty acyl-CoA	CHEBI:71044	CHEBI:71163	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	2,3-didehydroadipoyl-CoA(5-)	2,3-didehydroadipoyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
2,3-didehydroadipoyl-CoA	an acyl-CoA	CHEBI:71044	CHEBI:71163	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	2,3-didehydroadipoyl-CoA(5-)	2,3-didehydroadipoyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
(2E)-hexadecenoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:61526	CHEBI:28935	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	(E)-hexadec-2-enoyl-CoA(4-)	(E)-hexadec-2-enoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
(Z)-2,3-didehydroadipyl-CoA	an acyl-CoA	CHEBI:67261	CHEBI:68471	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	(Z)-2,3-dehydroadipyl-CoA(5-)	(Z)-2,3-dehydroadipoyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycero-3'-phosphate)	a phosphatidylglycerol phosphate	CHEBI:60110	CHEBI:37393	CHEBI:60522	CHEBI:17264	left_incomplete	$null$	$null$	1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate(3-)	1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate	phosphatidylglycerol phosphate(3-)	phosphatidylglycerol phosphate	$null$
1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycero-3'-phosphate)	a phosphatidylglycerol	CHEBI:60110	CHEBI:37393	CHEBI:60523	CHEBI:17517	left_incomplete	$null$	$null$	1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate(3-)	1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate	phosphatidylglycerol(1-)	phosphatidylglycerol	$null$
(Z)-2,3-didehydroadipyl-CoA	a fatty acyl-CoA	CHEBI:67261	CHEBI:68471	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	(Z)-2,3-dehydroadipyl-CoA(5-)	(Z)-2,3-dehydroadipoyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
methylmalonyl-CoA	an acyl-CoA	CHEBI:59916	CHEBI:16625	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	methylmalonyl-CoA(5-)	methylmalonyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
[beta-D-galactofuranosyl-(1->5)-beta-D-galactofuranosyl-(1->6)]14-beta-D-galactofuranosyl-(1->5)-beta-D-galactofuranosyl-(1->4)-alpha-L-rhamnopyranosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octa-cis-decaprenol	a polyprenol phosphate	CHEBI:67212	CHEBI:68530	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	[beta-D-Galf-(1->5)-beta-D-Galf-(1->6)]14-beta-D-Galf-(1->5)-beta-D-Galf-(1->4)-alpha-L-Rhap-(1->3)-alpha-D-GlcpNAc-1-diphospho-trans,octacis-decaprenol(2-)	[beta-D-Galf-(1->5)-beta-D-Galf-(1->6)]14-beta-D-Galf-(1->5)-beta-D-Galf-(1->4)-alpha-L-Rhap-(1->3)-alpha-D-GlcpNAc-1-diphospho-trans,octacis-decaprenol	polyprenol phosphate anion	polyprenol phosphate	$null$
4-carboxy-2-thioxobutanoyl-CoA	an acyl-CoA	CHEBI:71277	CHEBI:71313	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	4-carboxylato-2-thioxobutanoyl-CoA(5-)	4-carboxy-2-thioxobutanoyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
4-carboxy-2-hydroxy-cis,cis-muconate 6-semialdehyde	a monocarboxylate	CHEBI:58358	CHEBI:18046	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	4-carboxy-2-hydroxy-cis,cis-muconate 6-semialdehyde(2-)	4-carboxy-2-hydroxy-cis,cis-muconate 6-semialdehyde	monocarboxylic acid anion	monocarboxylic acid	$null$
a phosphatidylglycerol phosphate	a phosphatidylglycerol	CHEBI:60522	CHEBI:17264	CHEBI:60523	CHEBI:17517	left_incomplete	$null$	$null$	phosphatidylglycerol phosphate(3-)	phosphatidylglycerol phosphate	phosphatidylglycerol(1-)	phosphatidylglycerol	$null$
8-oxo-dADP	a nucleoside 5'-phosphate	CHEBI:71362	CHEBI:71397	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	8-oxo-dADP(3-)	8-oxo-dADP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
dTDP	a 2'-deoxyribonucleoside 5'-diphosphate	CHEBI:58369	CHEBI:18075	CHEBI:73316	CHEBI:16350	left_incomplete	$null$	$null$	dTDP(3-)	dTDP	2'-deoxyribonucleoside 5'-diphosphate(3-)	2'-deoxyribonucleoside 5'-diphosphate	$null$
dTDP	a ribonucleoside 5'-diphosphate	CHEBI:58369	CHEBI:18075	CHEBI:57930	CHEBI:16862	left_incomplete	$null$	$null$	dTDP(3-)	dTDP	nucleoside 5'-diphosphate(3-)	nucleoside diphosphate	$null$
1'-[1,2-di-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phospho]-3'-[1-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phospho]-glycerol	a phosphatidylglycerol	CHEBI:83580	CHEBI:84302	CHEBI:60523	CHEBI:17517	left_incomplete	$null$	$null$	trilinoleoyl 2-monolysocardiolipin(2-)	trilinoleoyl 2-monolysocardiolipin	phosphatidylglycerol(1-)	phosphatidylglycerol	$null$
dTDP	a nucleoside 5'-phosphate	CHEBI:58369	CHEBI:18075	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	dTDP(3-)	dTDP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
2-carboxytetracosanoyl-CoA	an acyl-CoA	CHEBI:83577	CHEBI:84303	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	2-carboxytetracosanoyl-CoA(5-)	2-carboxytetracosanoyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
8-oxo-dADP	a 2'-deoxyribonucleoside 5'-diphosphate	CHEBI:71362	CHEBI:71397	CHEBI:73316	CHEBI:16350	left_incomplete	$null$	$null$	8-oxo-dADP(3-)	8-oxo-dADP	2'-deoxyribonucleoside 5'-diphosphate(3-)	2'-deoxyribonucleoside 5'-diphosphate	$null$
8-oxo-dADP	a ribonucleoside 5'-diphosphate	CHEBI:71362	CHEBI:71397	CHEBI:57930	CHEBI:16862	left_incomplete	$null$	$null$	8-oxo-dADP(3-)	8-oxo-dADP	nucleoside 5'-diphosphate(3-)	nucleoside diphosphate	$null$
3,4-dihydroxy-5-all-trans-hexaprenylbenzoate	an aromatic carboxylate	CHEBI:58373	CHEBI:18081	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3-hexaprenyl-4,5-dihydroxybenzoate	3-hexaprenyl-4,5-dihydroxybenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
dodecanoyl-AMP	a nucleoside 5'-phosphate	CHEBI:83623	CHEBI:84312	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	dodecanoyl-AMP(1-)	dodecanoyl-AMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
1'-[1,2-di-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phospho]-3'-[1-(9Z,12Z-octadecadienoyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phospho]-glycerol	a phosphatidylglycerol	CHEBI:83582	CHEBI:84399	CHEBI:60523	CHEBI:17517	left_incomplete	$null$	$null$	1,1',2-trilinoleoyl-2'-oleoyl cardiolipin(2-)	1,1',2-trilinoleoyl-2'-oleoyl cardiolipin	phosphatidylglycerol(1-)	phosphatidylglycerol	$null$
8-oxo-dAMP	a 2'-deoxyribonucleoside 5'-diphosphate	CHEBI:71361	CHEBI:71403	CHEBI:73316	CHEBI:16350	left_incomplete	$null$	$null$	8-oxo-dAMP(2-)	8-oxo-dAMP	2'-deoxyribonucleoside 5'-diphosphate(3-)	2'-deoxyribonucleoside 5'-diphosphate	$null$
dodecanoyl-AMP	a ribonucleoside 5'-phosphate	CHEBI:83623	CHEBI:84312	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	dodecanoyl-AMP(1-)	dodecanoyl-AMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
1',3'-bis-[1,2-di-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phospho]-glycerol	a phosphatidylglycerol	CHEBI:83581	CHEBI:84398	CHEBI:60523	CHEBI:17517	left_incomplete	$null$	$null$	tetralinoleoyl cardiolipin(2-)	tetralinoleoyl cardiolipin	phosphatidylglycerol(1-)	phosphatidylglycerol	$null$
8-oxo-dAMP	a ribonucleoside 5'-diphosphate	CHEBI:71361	CHEBI:71403	CHEBI:57930	CHEBI:16862	left_incomplete	$null$	$null$	8-oxo-dAMP(2-)	8-oxo-dAMP	nucleoside 5'-diphosphate(3-)	nucleoside diphosphate	$null$
8-oxo-dAMP	a nucleoside 5'-phosphate	CHEBI:71361	CHEBI:71403	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	8-oxo-dAMP(2-)	8-oxo-dAMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
1'-[1,2-di-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phospho]-3'-[1-(9Z,12Z-octadecadienoyl)-2-hexadecanoyl-sn-glycero-3-phospho]-glycerol	a phosphatidylglycerol	CHEBI:83583	CHEBI:84400	CHEBI:60523	CHEBI:17517	left_incomplete	$null$	$null$	1,1',2-trilinoleoyl-2'-palmitoyl cardiolipin(2-)	1,1',2-trilinoleoyl-2'-palmitoyl cardiolipin	phosphatidylglycerol(1-)	phosphatidylglycerol	$null$
3-amino-4-hydroxybenzoate	an aromatic carboxylate	CHEBI:60005	CHEBI:29476	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3-amino-4-hydroxybenzoate	3-amino-4-hydroxybenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
S-acylglutathione	an S-substituted glutathione	CHEBI:60058	CHEBI:18126	CHEBI:90779	CHEBI:17021	left_incomplete	$null$	$null$	S-acylglutathionate(1-)	S-acylglutathione	S-substituted glutathione(1-)	S-substituted glutathione	$null$
tetradecanoyl-AMP	a ribonucleoside 5'-phosphate	CHEBI:83626	CHEBI:84412	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	tetradecanoyl-AMP(1-)	tetradecanoyl-AMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
tetradecanoyl-AMP	a nucleoside 5'-phosphate	CHEBI:83626	CHEBI:84412	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	tetradecanoyl-AMP(1-)	tetradecanoyl-AMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
alpha-D-mannose 6-phosphate	D-mannose 6-phosphate	CHEBI:60332	CHEBI:43896	CHEBI:58735	CHEBI:48066	left_incomplete	$null$	$null$	alpha-D-mannose 6-phosphate(2-)	alpha-D-mannose 6-phosphate	D-mannopyranose 6-phosphate(2-)	D-mannopyranose 6-phosphate	$null$
alpha-D-mannose 6-phosphate	D-hexose 6-phosphate	CHEBI:60332	CHEBI:43896	CHEBI:61567	CHEBI:61667	left_incomplete	$null$	$null$	alpha-D-mannose 6-phosphate(2-)	alpha-D-mannose 6-phosphate	D-hexopyranose 6-phosphate(2-)	D-hexopyranose 6-phosphate	$null$
3-oxotetradecanedioyl-CoA	an acyl-CoA	CHEBI:77041	CHEBI:77172	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	3-oxotetradecanedioyl-CoA(5-)	3-oxotetradecanedioyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
alpha-D-mannose 6-phosphate	D-hexose phosphate	CHEBI:60332	CHEBI:43896	CHEBI:140159	CHEBI:15965	left_incomplete	$null$	$null$	alpha-D-mannose 6-phosphate(2-)	alpha-D-mannose 6-phosphate	D-hexose phosphate(2-)	D-hexose phosphate	$null$
7(1)-hydroxychlorophyll a	a chlorophyll	CHEBI:83377	CHEBI:76032	CHEBI:139291	CHEBI:28966	left_incomplete	$null$	$null$	7(1)-hydroxychlorophyll a(1-)	7(1)-hydroxychlorophyll a	chlorophyll(1-)	chlorophyll	$null$
2-oxo-hept-4-ene-1,7-dioate	oxo dicarboxylic acid	CHEBI:78627	CHEBI:82686	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	2-oxohept-4-ene-1,7-dioate	2-oxohept-4-ene-1,7-dioic acid	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
a (2E)-enoyl-CoA	a fatty acyl-CoA	CHEBI:58856	CHEBI:50998	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	2,3-trans-enoyl CoA(4-)	trans-2-enoyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
(2E)-pentadecenoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:77545	CHEBI:77630	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	trans-2-pentadecenoyl-CoA(4-)	trans-2-pentadecenoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
(2E)-pentadecenoyl-CoA	a (2E)-enoyl-CoA	CHEBI:77545	CHEBI:77630	CHEBI:58856	CHEBI:50998	left_incomplete	$null$	$null$	trans-2-pentadecenoyl-CoA(4-)	trans-2-pentadecenoyl-CoA	2,3-trans-enoyl CoA(4-)	trans-2-enoyl-CoA	$null$
(R)-malyl-CoA	a (3R)-3-hydroxyacyl-CoA	CHEBI:77427	CHEBI:77653	CHEBI:57319	CHEBI:15456	left_incomplete	$null$	$null$	(3R)-3-carboxy-3-hydroxypropanoyl-CoA(5-)	(3R)-3-carboxy-3-hydroxypropanoyl-CoA	(R)-3-hydroxyacyl-CoA(4-)	(R)-3-hydroxyacyl-CoA	$null$
(R)-malyl-CoA	an acyl-CoA	CHEBI:77427	CHEBI:77653	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	(3R)-3-carboxy-3-hydroxypropanoyl-CoA(5-)	(3R)-3-carboxy-3-hydroxypropanoyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate	a monocarboxylate	CHEBI:60189	CHEBI:27450	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	4-(4-deoxy-alpha-D-gluc-4-enosyluronic acid)-D-galacturonate(2-)	4-(4-deoxy-alpha-D-gluc-4-enosyluronic acid)-D-galacturonic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
3,8-divinyl chlorophyllide a	a chlorophyll	CHEBI:83349	CHEBI:38259	CHEBI:139291	CHEBI:28966	left_incomplete	$null$	$null$	divinyl chlorophyllide a(2-)	divinyl chlorophyllide a	chlorophyll(1-)	chlorophyll	$null$
3,8-divinyl chlorophyllide a	a chlorophyllide	CHEBI:83349	CHEBI:38259	CHEBI:139292	CHEBI:38206	left_incomplete	$null$	$null$	divinyl chlorophyllide a(2-)	divinyl chlorophyllide a	chlorophyllide(2-)	chlorophyllide	$null$
